Drug_A,Drug_B,Level,Drug_A_MolecularWeight,Drug_A_XLogP,Drug_A_ExactMass,Drug_A_TPSA,Drug_B_MolecularWeight,Drug_B_XLogP,Drug_B_ExactMass,Drug_B_TPSA,Drug_A_ID,Drug_B_ID,Level_ID
Clozapine,Empagliflozin,Moderate,326.8,3.1,326.1298243,30.9,450.9,2.0,450.1445309,109.0,177,464,2
Clozapine,Ertugliflozin,Moderate,326.8,3.1,326.1298243,30.9,436.9,1.7,436.1288808,109.0,177,499,2
Clozapine,Esomeprazole,Moderate,326.8,3.1,326.1298243,30.9,345.4,2.2,345.11471265,96.3,177,62,2
Clozapine,Exenatide,Moderate,326.8,3.1,326.1298243,30.9,4187.0,-21.0,4185.0306624,1780.0,177,500,2
Glimepiride,Clozapine,Moderate,490.6,3.9,490.22499137,133.0,326.8,3.1,326.1298243,30.9,90,177,2
Clozapine,Glipizide,Moderate,326.8,3.1,326.1298243,30.9,445.5,1.9,445.17837553,139.0,177,100,2
Clozapine,Glyburide,Moderate,326.8,3.1,326.1298243,30.9,494.0,4.8,493.1438199,122.0,177,101,2
Clozapine,Glycerin,Moderate,326.8,3.1,326.1298243,30.9,92.09,-1.8,92.047344113,60.7,177,573,2
Clozapine,Glycerol phenylbutyrate,Moderate,326.8,3.1,326.1298243,30.9,530.6,6.7,530.26683893,78.9,177,63,2
Clozapine,Granisetron,Major,326.8,3.1,326.1298243,30.9,312.4,2.8,312.1950114,50.2,177,20,3
Insulin human,Clozapine,Moderate,5808.0,-13.1,5805.6443599,2450.0,326.8,3.1,326.1298243,30.9,92,177,2
Clozapine,Insulin degludec,Moderate,326.8,3.1,326.1298243,30.9,6104.0,-4.9,6101.8431193,2510.0,177,502,2
Clozapine,Insulin detemir,Moderate,326.8,3.1,326.1298243,30.9,5917.0,-3.5,5914.7950469,2400.0,177,409,2
Insulin glargine,Clozapine,Moderate,6063.0,-14.1,6060.8251182,2590.0,326.8,3.1,326.1298243,30.9,93,177,2
Clozapine,Insulin glulisine,Moderate,326.8,3.1,326.1298243,30.9,5823.0,-12.1,5820.6440255,2450.0,177,410,2
Clozapine,Lactitol,Moderate,326.8,3.1,326.1298243,30.9,344.31,-5.2,344.13186158,201.0,177,988,2
Clozapine,Lactulose,Moderate,326.8,3.1,326.1298243,30.9,342.3,-4.3,342.11621151,190.0,177,21,2
Clozapine,Levofloxacin,Major,326.8,3.1,326.1298243,30.9,361.4,-0.4,361.14378429,73.3,177,22,3
Clozapine,Linagliptin,Moderate,326.8,3.1,326.1298243,30.9,472.5,1.9,472.23352217,113.0,177,503,2
Clozapine,Liraglutide,Moderate,326.8,3.1,326.1298243,30.9,3751.0,-3.4,3749.9498161,1510.0,177,504,2
Clozapine,Lixisenatide,Moderate,326.8,3.1,326.1298243,30.9,4858.0,-30.8,4857.5510314,2090.0,177,505,2
Clozapine,Mepenzolate,Moderate,326.8,3.1,326.1298243,30.9,340.4,3.2,340.19126869,46.5,177,294,2
Clozapine,Methscopolamine,Moderate,326.8,3.1,326.1298243,30.9,318.4,1.3,318.17053325,59.1,177,738,2
Clozapine,Metoclopramide,Major,326.8,3.1,326.1298243,30.9,299.79,2.6,299.1400546,67.6,177,24,3
Clozapine,Metronidazole,Minor,326.8,3.1,326.1298243,30.9,171.15,0.0,171.06439116,83.9,177,25,1
Clozapine,Miglitol,Moderate,326.8,3.1,326.1298243,30.9,207.22,-2.6,207.11067264,104.0,177,158,2
Clozapine,Mineral oil,Moderate,326.8,3.1,326.1298243,30.9,1244.3,7.4,1243.51702653,400.0,177,575,2
Clozapine,Nabilone,Moderate,326.8,3.1,326.1298243,30.9,372.5,6.4,372.26644501,46.5,177,55,2
Clozapine,Nateglinide,Moderate,326.8,3.1,326.1298243,30.9,317.4,3.2,317.19909372,66.4,177,102,2
Clozapine,Obeticholic acid,Moderate,326.8,3.1,326.1298243,30.9,420.6,5.7,420.32395988,77.8,177,661,2
Clozapine,Ondansetron,Major,326.8,3.1,326.1298243,30.9,293.4,2.3,293.152812238,39.8,177,27,3
Clozapine,Palonosetron,Major,326.8,3.1,326.1298243,30.9,296.4,2.8,296.188863393,23.6,177,28,3
Clozapine,Papaverine,Major,326.8,3.1,326.1298243,30.9,339.4,3.9,339.14705815,49.8,177,29,3
Clozapine,Phenolphthalein,Moderate,326.8,3.1,326.1298243,30.9,318.3,3.6,318.08920892,66.8,177,30,2
Clozapine,Pramlintide,Moderate,326.8,3.1,326.1298243,30.9,3949.0,-15.7,3947.9240297,1740.0,177,508,2
Clozapine,Propantheline,Moderate,326.8,3.1,326.1298243,30.9,368.5,4.2,368.22256882,35.5,177,57,2
Clozapine,Repaglinide,Moderate,326.8,3.1,326.1298243,30.9,452.6,5.2,452.26750763,78.9,177,32,2
Clozapine,Rolapitant,Moderate,326.8,3.1,326.1298243,30.9,500.5,4.4,500.18984705,50.4,177,510,2
Clozapine,Rosiglitazone,Moderate,326.8,3.1,326.1298243,30.9,357.4,3.1,357.11471265,96.8,177,33,2
Clozapine,Saxagliptin,Moderate,326.8,3.1,326.1298243,30.9,315.4,0.7,315.19467705,90.4,177,511,2
Clozapine,Scopolamine,Moderate,326.8,3.1,326.1298243,30.9,303.35,0.9,303.14705815,62.3,177,58,2
Clozapine,Semaglutide,Moderate,326.8,3.1,326.1298243,30.9,4114.0,-5.8,4112.1187318,1650.0,177,980,2
Clozapine,Sibutramine,Moderate,326.8,3.1,326.1298243,30.9,279.8,5.4,279.1753775,3.2,177,70,2
Clozapine,Sitagliptin,Moderate,326.8,3.1,326.1298243,30.9,407.31,0.7,407.11807909,77.0,177,513,2
Clozapine,Tolazamide,Moderate,326.8,3.1,326.1298243,30.9,311.4,1.5,311.13036271,86.9,177,103,2
Clozapine,Tolbutamide,Moderate,326.8,3.1,326.1298243,30.9,270.35,2.3,270.10381361,83.7,177,104,2
Troglitazone,Clozapine,Moderate,441.5,5.1,441.16099414,110.0,326.8,3.1,326.1298243,30.9,11,177,2
Trospium,Clozapine,Moderate,392.5,4.4,392.22256882,46.5,326.8,3.1,326.1298243,30.9,59,177,2
Eliglustat,Cobicistat,Major,404.5,3.7,404.26750763,71.0,776.0,5.7,775.35496016,195.0,463,883,3
Cobicistat,Eluxadoline,Major,776.0,5.7,775.35496016,195.0,569.6,0.9,569.26381923,165.0,883,298,3
Miconazole,Cobicistat,Moderate,416.1,5.3,415.983074,27.1,776.0,5.7,775.35496016,195.0,10,883,2
Cobicistat,Naldemedine,Moderate,776.0,5.7,775.35496016,195.0,570.6,3.2,570.24783482,141.0,883,506,2
Naloxegol,Cobicistat,Major,651.8,-1.0,651.36186151,127.0,776.0,5.7,775.35496016,195.0,507,883,3
Nitisinone,Cobicistat,Moderate,329.23,2.3,329.05110691,97.0,776.0,5.7,775.35496016,195.0,26,883,2
Prednisolone,Cobicistat,Moderate,360.4,1.6,360.19367399,94.8,776.0,5.7,775.35496016,195.0,42,883,2
Prednisone,Cobicistat,Moderate,358.4,1.5,358.17802393,91.7,776.0,5.7,775.35496016,195.0,43,883,2
Rosuvastatin,Cobicistat,Moderate,481.5,1.6,481.16828496,149.0,776.0,5.7,775.35496016,195.0,36,883,2
Saxagliptin,Cobicistat,Moderate,315.4,0.7,315.19467705,90.4,776.0,5.7,775.35496016,195.0,511,883,2
Simvastatin,Cobicistat,Major,418.6,4.7,418.27192431,72.8,776.0,5.7,775.35496016,195.0,37,883,3
Clotrimazole,Cobimetinib,Moderate,344.8,5.0,344.1080262,17.8,531.3,3.9,531.06306,64.6,6,884,2
Cobimetinib,Eliglustat,Moderate,531.3,3.9,531.06306,64.6,404.5,3.7,404.26750763,71.0,884,463,2
Miconazole,Cobimetinib,Moderate,416.1,5.3,415.983074,27.1,531.3,3.9,531.06306,64.6,10,884,2
Naltrexone,Cobimetinib,Moderate,341.4,1.9,341.16270821,70.0,531.3,3.9,531.06306,64.6,1,884,2
Cobimetinib,Rolapitant,Moderate,531.3,3.9,531.06306,64.6,500.5,4.4,500.18984705,50.4,884,510,2
Troglitazone,Cobimetinib,Moderate,441.5,5.1,441.16099414,110.0,531.3,3.9,531.06306,64.6,11,884,2
Hydrocodone,Dexfenfluramine,Moderate,299.4,2.2,299.15214353,38.8,231.26,3.4,231.123484,12.0,523,16,2
Dicyclomine,Hydrocodone,Moderate,309.5,5.5,309.266779359,29.5,299.4,2.2,299.15214353,38.8,50,523,2
Dolasetron,Hydrocodone,Moderate,324.4,3.4,324.1473925,62.4,299.4,2.2,299.15214353,38.8,17,523,2
Hydrocodone,Eluxadoline,Moderate,299.4,2.2,299.15214353,38.8,569.6,0.9,569.26381923,165.0,523,298,2
Granisetron,Hydrocodone,Moderate,312.4,2.8,312.1950114,50.2,299.4,2.2,299.15214353,38.8,20,523,2
Hydrocodone,Mepenzolate,Moderate,299.4,2.2,299.15214353,38.8,340.4,3.2,340.19126869,46.5,523,294,2
Hydrocodone,Methscopolamine,Moderate,299.4,2.2,299.15214353,38.8,318.4,1.3,318.17053325,59.1,523,738,2
Nabilone,Hydrocodone,Moderate,372.5,6.4,372.26644501,46.5,299.4,2.2,299.15214353,38.8,55,523,2
Palonosetron,Hydrocodone,Moderate,296.4,2.8,296.188863393,23.6,299.4,2.2,299.15214353,38.8,28,523,2
Propantheline,Hydrocodone,Moderate,368.5,4.2,368.22256882,35.5,299.4,2.2,299.15214353,38.8,57,523,2
Hydrocodone,Sibutramine,Moderate,299.4,2.2,299.15214353,38.8,279.8,5.4,279.1753775,3.2,523,70,2
Troglitazone,Hydrocodone,Moderate,441.5,5.1,441.16099414,110.0,299.4,2.2,299.15214353,38.8,11,523,2
Trospium,Hydrocodone,Moderate,392.5,4.4,392.22256882,46.5,299.4,2.2,299.15214353,38.8,59,523,2
Colchicine,Eliglustat,Major,399.4,1.0,399.16818752,83.1,404.5,3.7,404.26750763,71.0,885,463,3
Colchicine,Eluxadoline,Moderate,399.4,1.0,399.16818752,83.1,569.6,0.9,569.26381923,165.0,885,298,2
Miconazole,Colchicine,Moderate,416.1,5.3,415.983074,27.1,399.4,1.0,399.16818752,83.1,10,885,2
Colchicine,Rolapitant,Major,399.4,1.0,399.16818752,83.1,500.5,4.4,500.18984705,50.4,885,510,3
Rosuvastatin,Colchicine,Major,481.5,1.6,481.16828496,149.0,399.4,1.0,399.16818752,83.1,36,885,3
Simvastatin,Colchicine,Major,418.6,4.7,418.27192431,72.8,399.4,1.0,399.16818752,83.1,37,885,3
Tinidazole,Colchicine,Moderate,247.27,-0.4,247.06267708,106.0,399.4,1.0,399.16818752,83.1,38,885,2
Phenylephrine,Dicyclomine,Moderate,167.2,-0.3,167.094628657,52.5,309.5,5.5,309.266779359,29.5,88,50,2
Acetohexamide,Prochlorperazine,Moderate,324.4,2.4,324.1143783,101.0,373.9,4.9,373.1379466,35.0,95,223,2
Prochlorperazine,Activated charcoal,Moderate,373.9,4.9,373.1379466,35.0,12.011,0.6,12.0,0.0,223,1058,2
Prochlorperazine,Cisapride,Major,373.9,4.9,373.1379466,35.0,465.9,3.4,465.1830623,86.1,223,15,3
Prochlorperazine,Clidinium,Moderate,373.9,4.9,373.1379466,35.0,352.4,3.3,352.19126869,46.5,223,49,2
Prochlorperazine,Dapagliflozin,Moderate,373.9,4.9,373.1379466,35.0,408.9,2.3,408.1339662,99.4,223,470,2
Prochlorperazine,Dicyclomine,Moderate,373.9,4.9,373.1379466,35.0,309.5,5.5,309.266779359,29.5,223,50,2
Prochlorperazine,Diethylpropion,Moderate,373.9,4.9,373.1379466,35.0,205.3,2.8,205.14666423,20.3,223,118,2
Prochlorperazine,Dolasetron,Major,373.9,4.9,373.1379466,35.0,324.4,3.4,324.1473925,62.4,223,17,3
Prochlorperazine,Dulaglutide,Moderate,373.9,4.9,373.1379466,35.0,3314.6,-14.3,3313.5972414,1380.0,223,498,2
Prochlorperazine,Eluxadoline,Moderate,373.9,4.9,373.1379466,35.0,569.6,0.9,569.26381923,165.0,223,298,2
Prochlorperazine,Empagliflozin,Moderate,373.9,4.9,373.1379466,35.0,450.9,2.0,450.1445309,109.0,223,464,2
Prochlorperazine,Ephedrine,Moderate,373.9,4.9,373.1379466,35.0,165.23,0.9,165.115364102,32.3,223,395,2
Prochlorperazine,Ertugliflozin,Moderate,373.9,4.9,373.1379466,35.0,436.9,1.7,436.1288808,109.0,223,499,2
Prochlorperazine,Exenatide,Moderate,373.9,4.9,373.1379466,35.0,4187.0,-21.0,4185.0306624,1780.0,223,500,2
Glimepiride,Prochlorperazine,Moderate,490.6,3.9,490.22499137,133.0,373.9,4.9,373.1379466,35.0,90,223,2
Prochlorperazine,Glipizide,Moderate,373.9,4.9,373.1379466,35.0,445.5,1.9,445.17837553,139.0,223,100,2
Prochlorperazine,Glyburide,Moderate,373.9,4.9,373.1379466,35.0,494.0,4.8,493.1438199,122.0,223,101,2
Prochlorperazine,Glycerin,Moderate,373.9,4.9,373.1379466,35.0,92.09,-1.8,92.047344113,60.7,223,573,2
Prochlorperazine,Glycerol phenylbutyrate,Moderate,373.9,4.9,373.1379466,35.0,530.6,6.7,530.26683893,78.9,223,63,2
Prochlorperazine,Granisetron,Moderate,373.9,4.9,373.1379466,35.0,312.4,2.8,312.1950114,50.2,223,20,2
Insulin human,Prochlorperazine,Moderate,5808.0,-13.1,5805.6443599,2450.0,373.9,4.9,373.1379466,35.0,92,223,2
Prochlorperazine,Insulin degludec,Moderate,373.9,4.9,373.1379466,35.0,6104.0,-4.9,6101.8431193,2510.0,223,502,2
Prochlorperazine,Insulin detemir,Moderate,373.9,4.9,373.1379466,35.0,5917.0,-3.5,5914.7950469,2400.0,223,409,2
Insulin glargine,Prochlorperazine,Moderate,6063.0,-14.1,6060.8251182,2590.0,373.9,4.9,373.1379466,35.0,93,223,2
Prochlorperazine,Insulin glulisine,Moderate,373.9,4.9,373.1379466,35.0,5823.0,-12.1,5820.6440255,2450.0,223,410,2
Prochlorperazine,Lactitol,Moderate,373.9,4.9,373.1379466,35.0,344.31,-5.2,344.13186158,201.0,223,988,2
Prochlorperazine,Lactulose,Moderate,373.9,4.9,373.1379466,35.0,342.3,-4.3,342.11621151,190.0,223,21,2
Prochlorperazine,Levofloxacin,Moderate,373.9,4.9,373.1379466,35.0,361.4,-0.4,361.14378429,73.3,223,22,2
Prochlorperazine,Linagliptin,Moderate,373.9,4.9,373.1379466,35.0,472.5,1.9,472.23352217,113.0,223,503,2
Prochlorperazine,Liraglutide,Moderate,373.9,4.9,373.1379466,35.0,3751.0,-3.4,3749.9498161,1510.0,223,504,2
Prochlorperazine,Lixisenatide,Moderate,373.9,4.9,373.1379466,35.0,4858.0,-30.8,4857.5510314,2090.0,223,505,2
Prochlorperazine,Mazindol,Moderate,373.9,4.9,373.1379466,35.0,284.74,2.2,284.0716407,35.8,223,53,2
Prochlorperazine,Mepenzolate,Moderate,373.9,4.9,373.1379466,35.0,340.4,3.2,340.19126869,46.5,223,294,2
Prochlorperazine,Methscopolamine,Moderate,373.9,4.9,373.1379466,35.0,318.4,1.3,318.17053325,59.1,223,738,2
Prochlorperazine,Metoclopramide,Major,373.9,4.9,373.1379466,35.0,299.79,2.6,299.1400546,67.6,223,24,3
Prochlorperazine,Metronidazole,Minor,373.9,4.9,373.1379466,35.0,171.15,0.0,171.06439116,83.9,223,25,1
Prochlorperazine,Miglitol,Moderate,373.9,4.9,373.1379466,35.0,207.22,-2.6,207.11067264,104.0,223,158,2
Prochlorperazine,Mineral oil,Moderate,373.9,4.9,373.1379466,35.0,1244.3,7.4,1243.51702653,400.0,223,575,2
Prochlorperazine,Nabilone,Moderate,373.9,4.9,373.1379466,35.0,372.5,6.4,372.26644501,46.5,223,55,2
Prochlorperazine,Nateglinide,Moderate,373.9,4.9,373.1379466,35.0,317.4,3.2,317.19909372,66.4,223,102,2
Prochlorperazine,Ondansetron,Moderate,373.9,4.9,373.1379466,35.0,293.4,2.3,293.152812238,39.8,223,27,2
Palonosetron,Prochlorperazine,Moderate,296.4,2.8,296.188863393,23.6,373.9,4.9,373.1379466,35.0,28,223,2
Prochlorperazine,Papaverine,Moderate,373.9,4.9,373.1379466,35.0,339.4,3.9,339.14705815,49.8,223,29,2
Prochlorperazine,Phenolphthalein,Moderate,373.9,4.9,373.1379466,35.0,318.3,3.6,318.08920892,66.8,223,30,2
Phentermine,Prochlorperazine,Moderate,149.23,1.9,149.120449483,26.0,373.9,4.9,373.1379466,35.0,56,223,2
Prochlorperazine,Pramlintide,Moderate,373.9,4.9,373.1379466,35.0,3949.0,-15.7,3947.9240297,1740.0,223,508,2
Prochlorperazine,Repaglinide,Moderate,373.9,4.9,373.1379466,35.0,452.6,5.2,452.26750763,78.9,223,32,2
Rosiglitazone,Prochlorperazine,Moderate,357.4,3.1,357.11471265,96.8,373.9,4.9,373.1379466,35.0,33,223,2
Prochlorperazine,Saxagliptin,Moderate,373.9,4.9,373.1379466,35.0,315.4,0.7,315.19467705,90.4,223,511,2
Prochlorperazine,Semaglutide,Moderate,373.9,4.9,373.1379466,35.0,4114.0,-5.8,4112.1187318,1650.0,223,980,2
Prochlorperazine,Sibutramine,Moderate,373.9,4.9,373.1379466,35.0,279.8,5.4,279.1753775,3.2,223,70,2
Prochlorperazine,Sitagliptin,Moderate,373.9,4.9,373.1379466,35.0,407.31,0.7,407.11807909,77.0,223,513,2
Prochlorperazine,Tolazamide,Moderate,373.9,4.9,373.1379466,35.0,311.4,1.5,311.13036271,86.9,223,103,2
Prochlorperazine,Tolbutamide,Moderate,373.9,4.9,373.1379466,35.0,270.35,2.3,270.10381361,83.7,223,104,2
Troglitazone,Prochlorperazine,Moderate,441.5,5.1,441.16099414,110.0,373.9,4.9,373.1379466,35.0,11,223,2
Trospium,Prochlorperazine,Moderate,392.5,4.4,392.22256882,46.5,373.9,4.9,373.1379466,35.0,59,223,2
Cisapride,Conivaptan,Major,465.9,3.4,465.1830623,86.1,498.6,5.7,498.20557608,78.1,15,270,3
Conivaptan,Eliglustat,Major,498.6,5.7,498.20557608,78.1,404.5,3.7,404.26750763,71.0,270,463,3
Conivaptan,Eluxadoline,Moderate,498.6,5.7,498.20557608,78.1,569.6,0.9,569.26381923,165.0,270,298,2
Conivaptan,Granisetron,Moderate,498.6,5.7,498.20557608,78.1,312.4,2.8,312.1950114,50.2,270,20,2
Conivaptan,Miconazole,Moderate,498.6,5.7,498.20557608,78.1,416.1,5.3,415.983074,27.1,270,10,2
Conivaptan,Naldemedine,Moderate,498.6,5.7,498.20557608,78.1,570.6,3.2,570.24783482,141.0,270,506,2
Conivaptan,Naloxegol,Major,498.6,5.7,498.20557608,78.1,651.8,-1.0,651.36186151,127.0,270,507,3
Nitisinone,Conivaptan,Moderate,329.23,2.3,329.05110691,97.0,498.6,5.7,498.20557608,78.1,26,270,2
Conivaptan,Ondansetron,Moderate,498.6,5.7,498.20557608,78.1,293.4,2.3,293.152812238,39.8,270,27,2
Prednisolone,Conivaptan,Moderate,360.4,1.6,360.19367399,94.8,498.6,5.7,498.20557608,78.1,42,270,2
Prednisone,Conivaptan,Moderate,358.4,1.5,358.17802393,91.7,498.6,5.7,498.20557608,78.1,43,270,2
Conivaptan,Prucalopride,Minor,498.6,5.7,498.20557608,78.1,367.9,2.0,367.1662694,76.8,270,295,1
Conivaptan,Repaglinide,Moderate,498.6,5.7,498.20557608,78.1,452.6,5.2,452.26750763,78.9,270,32,2
Conivaptan,Saxagliptin,Moderate,498.6,5.7,498.20557608,78.1,315.4,0.7,315.19467705,90.4,270,511,2
Conivaptan,Sibutramine,Moderate,498.6,5.7,498.20557608,78.1,279.8,5.4,279.1753775,3.2,270,70,2
Simvastatin,Conivaptan,Major,418.6,4.7,418.27192431,72.8,498.6,5.7,498.20557608,78.1,37,270,3
Conivaptan,Tinidazole,Moderate,498.6,5.7,498.20557608,78.1,247.27,-0.4,247.06267708,106.0,270,38,2
Troglitazone,Conivaptan,Moderate,441.5,5.1,441.16099414,110.0,498.6,5.7,498.20557608,78.1,11,270,2
Kanamycin,Iothalamic acid,Major,484.5,-6.9,484.23805798,283.0,613.91,1.9,613.7696,95.5,808,1124,3
Mannitol,Iothalamic acid,Moderate,182.17,-3.1,182.07903816,121.0,613.91,1.9,613.7696,95.5,296,1124,2
Neomycin,Iothalamic acid,Major,614.6,-9.0,614.31228554,353.0,613.91,1.9,613.7696,95.5,284,1124,3
Olsalazine,Iothalamic acid,Major,302.24,3.1,302.05388604,140.0,613.91,1.9,613.7696,95.5,886,1124,3
Streptomycin,Iothalamic acid,Major,581.6,-8.0,581.2656697,336.0,613.91,1.9,613.7696,95.5,288,1124,3
Sulfasalazine,Iothalamic acid,Major,398.4,-0.7,398.06849073,150.0,613.91,1.9,613.7696,95.5,326,1124,3
Vancomycin,Iothalamic acid,Major,1449.2,-2.6,1447.4301997,530.0,613.91,1.9,613.7696,95.5,327,1124,3
Acetohexamide,Corticotropin,Moderate,324.4,2.4,324.1143783,101.0,4541.0,-19.7,4540.2660828,1860.0,95,386,2
Corticotropin,Dapagliflozin,Moderate,4541.0,-19.7,4540.2660828,1860.0,408.9,2.3,408.1339662,99.4,386,470,2
Corticotropin,Dulaglutide,Moderate,4541.0,-19.7,4540.2660828,1860.0,3314.6,-14.3,3313.5972414,1380.0,386,498,2
Corticotropin,Empagliflozin,Moderate,4541.0,-19.7,4540.2660828,1860.0,450.9,2.0,450.1445309,109.0,386,464,2
Corticotropin,Ertugliflozin,Moderate,4541.0,-19.7,4540.2660828,1860.0,436.9,1.7,436.1288808,109.0,386,499,2
Exenatide,Corticotropin,Moderate,4187.0,-21.0,4185.0306624,1780.0,4541.0,-19.7,4540.2660828,1860.0,500,386,2
Glimepiride,Corticotropin,Moderate,490.6,3.9,490.22499137,133.0,4541.0,-19.7,4540.2660828,1860.0,90,386,2
Glipizide,Corticotropin,Moderate,445.5,1.9,445.17837553,139.0,4541.0,-19.7,4540.2660828,1860.0,100,386,2
Glyburide,Corticotropin,Moderate,494.0,4.8,493.1438199,122.0,4541.0,-19.7,4540.2660828,1860.0,101,386,2
Corticotropin,Glycerin,Moderate,4541.0,-19.7,4540.2660828,1860.0,92.09,-1.8,92.047344113,60.7,386,573,2
Insulin human,Corticotropin,Moderate,5808.0,-13.1,5805.6443599,2450.0,4541.0,-19.7,4540.2660828,1860.0,92,386,2
Corticotropin,Insulin degludec,Moderate,4541.0,-19.7,4540.2660828,1860.0,6104.0,-4.9,6101.8431193,2510.0,386,502,2
Corticotropin,Insulin detemir,Moderate,4541.0,-19.7,4540.2660828,1860.0,5917.0,-3.5,5914.7950469,2400.0,386,409,2
Insulin glargine,Corticotropin,Moderate,6063.0,-14.1,6060.8251182,2590.0,4541.0,-19.7,4540.2660828,1860.0,93,386,2
Corticotropin,Insulin glulisine,Moderate,4541.0,-19.7,4540.2660828,1860.0,5823.0,-12.1,5820.6440255,2450.0,386,410,2
Corticotropin,Lactitol,Moderate,4541.0,-19.7,4540.2660828,1860.0,344.31,-5.2,344.13186158,201.0,386,988,2
Lactulose,Corticotropin,Moderate,342.3,-4.3,342.11621151,190.0,4541.0,-19.7,4540.2660828,1860.0,21,386,2
Corticotropin,Linagliptin,Moderate,4541.0,-19.7,4540.2660828,1860.0,472.5,1.9,472.23352217,113.0,386,503,2
Corticotropin,Liraglutide,Moderate,4541.0,-19.7,4540.2660828,1860.0,3751.0,-3.4,3749.9498161,1510.0,386,504,2
Corticotropin,Lixisenatide,Moderate,4541.0,-19.7,4540.2660828,1860.0,4858.0,-30.8,4857.5510314,2090.0,386,505,2
Miglitol,Corticotropin,Moderate,207.22,-2.6,207.11067264,104.0,4541.0,-19.7,4540.2660828,1860.0,158,386,2
Corticotropin,Mineral oil,Moderate,4541.0,-19.7,4540.2660828,1860.0,1244.3,7.4,1243.51702653,400.0,386,575,2
Nateglinide,Corticotropin,Moderate,317.4,3.2,317.19909372,66.4,4541.0,-19.7,4540.2660828,1860.0,102,386,2
Oxandrolone,Corticotropin,Moderate,306.4,3.7,306.21949481,46.5,4541.0,-19.7,4540.2660828,1860.0,360,386,2
Corticotropin,Oxymetholone,Moderate,4541.0,-19.7,4540.2660828,1860.0,332.5,4.4,332.23514488,57.5,386,802,2
Corticotropin,Phenolphthalein,Moderate,4541.0,-19.7,4540.2660828,1860.0,318.3,3.6,318.08920892,66.8,386,30,2
Pioglitazone,Corticotropin,Moderate,356.4,3.8,356.11946368,93.6,4541.0,-19.7,4540.2660828,1860.0,31,386,2
Pramlintide,Corticotropin,Moderate,3949.0,-15.7,3947.9240297,1740.0,4541.0,-19.7,4540.2660828,1860.0,508,386,2
Repaglinide,Corticotropin,Moderate,452.6,5.2,452.26750763,78.9,4541.0,-19.7,4540.2660828,1860.0,32,386,2
Rosiglitazone,Corticotropin,Moderate,357.4,3.1,357.11471265,96.8,4541.0,-19.7,4540.2660828,1860.0,33,386,2
Corticotropin,Saxagliptin,Moderate,4541.0,-19.7,4540.2660828,1860.0,315.4,0.7,315.19467705,90.4,386,511,2
Corticotropin,Semaglutide,Moderate,4541.0,-19.7,4540.2660828,1860.0,4114.0,-5.8,4112.1187318,1650.0,386,980,2
Sitagliptin,Corticotropin,Moderate,407.31,0.7,407.11807909,77.0,4541.0,-19.7,4540.2660828,1860.0,513,386,2
Corticotropin,Stanozolol,Moderate,4541.0,-19.7,4540.2660828,1860.0,328.5,4.5,328.251463648,48.9,386,803,2
Tolazamide,Corticotropin,Moderate,311.4,1.5,311.13036271,86.9,4541.0,-19.7,4540.2660828,1860.0,103,386,2
Tolbutamide,Corticotropin,Moderate,270.35,2.3,270.10381361,83.7,4541.0,-19.7,4540.2660828,1860.0,104,386,2
Troglitazone,Corticotropin,Moderate,441.5,5.1,441.16099414,110.0,4541.0,-19.7,4540.2660828,1860.0,11,386,2
Clidinium,Mepyramine,Moderate,352.4,3.3,352.19126869,46.5,285.4,3.3,285.184112366,28.6,49,887,2
Dicyclomine,Mepyramine,Moderate,309.5,5.5,309.266779359,29.5,285.4,3.3,285.184112366,28.6,50,887,2
Dronabinol,Mepyramine,Moderate,314.5,7.0,314.224580195,29.5,285.4,3.3,285.184112366,28.6,51,887,2
Mepyramine,Eluxadoline,Moderate,285.4,3.3,285.184112366,28.6,569.6,0.9,569.26381923,165.0,887,298,2
Mepenzolate,Mepyramine,Moderate,340.4,3.2,340.19126869,46.5,285.4,3.3,285.184112366,28.6,294,887,2
Mepyramine,Methscopolamine,Moderate,285.4,3.3,285.184112366,28.6,318.4,1.3,318.17053325,59.1,887,738,2
Metoclopramide,Mepyramine,Moderate,299.79,2.6,299.1400546,67.6,285.4,3.3,285.184112366,28.6,24,887,2
Propantheline,Mepyramine,Moderate,368.5,4.2,368.22256882,35.5,285.4,3.3,285.184112366,28.6,57,887,2
Scopolamine,Mepyramine,Moderate,303.35,0.9,303.14705815,62.3,285.4,3.3,285.184112366,28.6,58,887,2
Trospium,Mepyramine,Moderate,392.5,4.4,392.22256882,46.5,285.4,3.3,285.184112366,28.6,59,887,2
Acetohexamide,Tetracosactide,Moderate,324.4,2.4,324.1143783,101.0,2933.4,-7.9,2932.5839961,1180.0,95,387,2
Tetracosactide,Dapagliflozin,Moderate,2933.4,-7.9,2932.5839961,1180.0,408.9,2.3,408.1339662,99.4,387,470,2
Tetracosactide,Dulaglutide,Moderate,2933.4,-7.9,2932.5839961,1180.0,3314.6,-14.3,3313.5972414,1380.0,387,498,2
Tetracosactide,Empagliflozin,Moderate,2933.4,-7.9,2932.5839961,1180.0,450.9,2.0,450.1445309,109.0,387,464,2
Tetracosactide,Ertugliflozin,Moderate,2933.4,-7.9,2932.5839961,1180.0,436.9,1.7,436.1288808,109.0,387,499,2
Exenatide,Tetracosactide,Moderate,4187.0,-21.0,4185.0306624,1780.0,2933.4,-7.9,2932.5839961,1180.0,500,387,2
